Reference;Mounting; Value; Footprint; Datasheet
C1;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C2;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C3;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C4;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C5;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C6;SMD;Electrolytic 4mm 33uF;Capacitors_SMD:c_elec_5x5.3;
C7;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C8;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C9;SMD;Electrolytic 4mm 33uF;Capacitors_SMD:c_elec_4x5.3;
C10;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C11;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C13;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C14;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C15;Thru Hole;Electrolytic 6.3mm 220uF;Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5;
C16;SMD;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
D1;Thru Hole;Schottky 0.45V 1A;Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10;
F1;SMD;PTC 400mA;Capacitors_SMD:C_1206;
IC1;SMD;QFN ATXMEGA16A4U-A;Housings_QFP:LQFP-44_10x10mm_Pitch0.8mm;
L1;Thru Hole;Bourns Radial 220uH;Inductors:INDUCTOR_V;
L2;SMD;10uH 1210;Resistors_SMD:R_1210;
L3;SMD;10uH 1210;Resistors_SMD:R_1210;
P1;Thru Hole;Female Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
P2;Thru Hole/SMD;Micro USB-B Connector (F);Connect:USB_Micro-B_WIDE;
P3;Thru Hole;Male header 1x4;Pin_Headers:Pin_Header_Straight_1x04;
P4;Thru Hole;Male header 2x2;Pin_Headers:Pin_Header_Straight_2x02;
P5;Thru Hole;Female Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
P6;Thru Hole;Male header 1x4;Pin_Headers:Pin_Header_Straight_1x04;
P7;Thru Hole;Male header 1x2;Pin_Headers:Pin_Header_Straight_2x02;
P8;Thru Hole;Feamle Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
P9;Thru Hole;Female Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
P10;Thru Hole;Female Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
Q1;SMD;SMD nMOS Transistor TSM2302CX ;SMD:SOT-23-3;
R1;SMD;SMD 1M? 20V 0603;Resistors_SMD:R_0603;
R2;SMD;SMD 1M? 20V 0603;Resistors_SMD:R_0603;
R3;SMD;SMD 75k? 6.3V 0603;Resistors_SMD:R_0603;
R4;SMD;SMD 75k? 6.3V 0603;Resistors_SMD:R_0603;
R5;SMD;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R6;SMD;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R7;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R8;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R9;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R10;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R11;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R12;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R13;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R14;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R15;SMD;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R16;SMD;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R17;SMD;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R18;SMD;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R19;SMD;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R20;SMD;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R21;SMD;SMD 100? 16V 0603;Resistors_SMD:R_0603;
R22;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R23;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R24;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R25;SMD;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R26;SMD;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R27;SMD;SMD 100? 16V 0603;Resistors_SMD:R_0603;
R28;SMD;SMD 100? 16V 0603;Resistors_SMD:R_0603;
R29;SMD;SMD 100? 16V 0603;Resistors_SMD:R_0603;
R30;SMD;SMD 100? 16V 0603;Resistors_SMD:R_0603;
U1;SMD;3.3V Reg RT9161A-33GV;SMD:SOT-23-3;
U2;SMD;LM324;Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm;
U3;SMD;DMN63D8LDW;TO_SOT_Packages_SMD:SOT-363;
U4;SMD;DMN63D8LDW;TO_SOT_Packages_SMD:SOT-363;
