Reference; Value; Footprint; Datasheet
C1;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C2;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C3;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C4;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C5;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C6;SMD 4mm 33uF;Capacitors_SMD:c_elec_5x5.3;
C7;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C8;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C9;SMD 4mm 33uF;Capacitors_SMD:c_elec_4x5.3;
C10;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C11;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C13;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C14;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
C15;Thru Hole 6.3mm 220uF;Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5;
C16;SMD MLCC 1uF 16V 0603;Capacitors_SMD:C_0603;
D1;Thru Hole Schottky 1A;Diodes_ThroughHole:Diode_DO-41_SOD81_Horizontal_RM10;
F1;SMD PTC 400mA;Capacitors_SMD:C_1206;
IC1;QFN ATXMEGA16A4U-A;Housings_QFP:LQFP-44_10x10mm_Pitch0.8mm;
L1;Thru Hole Radial 220uH;Inductors:INDUCTOR_V;
L2;SMD 10uH 1210;Resistors_SMD:R_1210;
L3;SMD 10uH 1210;Resistors_SMD:R_1210;
P1;Female Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
P2;Micro USB-B Connector (F);Connect:USB_Micro-B_WIDE;
P3;Male header 1x4;Pin_Headers:Pin_Header_Straight_1x04;
P4;Male header 2x2;Pin_Headers:Pin_Header_Straight_2x02;
P5;Female Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
P6;Male header 1x4;Pin_Headers:Pin_Header_Straight_1x04;
P7;Male header 1x2;Pin_Headers:Pin_Header_Straight_2x02;
P8;Feamle Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
P9;Female Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
P10;Female Header 1x2;Pin_Headers:Pin_Header_Straight_1x02;
Q1;SMD nMOS Transistor TSM2302CX ;SMD:SOT-23-3;
R1;SMD 1M? 20V 0603;Resistors_SMD:R_0603;
R2;SMD 1M? 20V 0603;Resistors_SMD:R_0603;
R3;SMD 75k? 6.3V 0603;Resistors_SMD:R_0603;
R4;SMD 75k? 6.3V 0603;Resistors_SMD:R_0603;
R5;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R6;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R7;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R8;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R9;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R10;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R11;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R12;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R13;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R14;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R15;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R16;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R17;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R18;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R19;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R20;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R21;SMD 100? 16V 0603;Resistors_SMD:R_0603;
R22;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R23;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R24;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R25;SMD 28? 6.3V 0603;Resistors_SMD:R_0603;
R26;SMD 1k? 16V 0603;Resistors_SMD:R_0603;
R27;SMD 100? 16V 0603;Resistors_SMD:R_0603;
R28;SMD 100? 16V 0603;Resistors_SMD:R_0603;
R29;SMD 100? 16V 0603;Resistors_SMD:R_0603;
R30;SMD 100? 16V 0603;Resistors_SMD:R_0603;
U1;SMD 3.3V Reg RT9161A-33GV;SMD:SOT-23-3;
U2;SMD LM324;Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm;
U3;SMD DMN63D8LDW;TO_SOT_Packages_SMD:SOT-363;
U4;SMD DMN63D8LDW;TO_SOT_Packages_SMD:SOT-363;
